nx,ny,lat,lon,sand,silt,clay,slope,elev,MAT,MAP,pH,tot_OC,tot_N,s_type2_Acrisol,s_type2_Alisol,s_type2_Andosols,s_type2_Arenosol,s_type2_Cambisol,s_type2_Ferralsol,s_type2_Fluvisols,s_type2_Gleysol,s_type2_Lixisol,s_type2_Luvisol,s_type2_Nitisols,s_type2_Plinthosol,s_type2_Podzol,s_type2_Regosol,s_type2_Umbrisol
232,165,-7.2500,-63.7500,0.2378,0.3300,0.4322,1.2395,201.1278,26.4944,1501.3334,3.7450,0.5998,0.0650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
233,165,-7.2500,-63.2500,0.3056,0.3298,0.3646,0.6931,255.8747,25.8861,1388.6389,3.8970,0.6049,0.0616,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
234,165,-7.2500,-62.7500,0.4655,0.1741,0.2204,0.7703,300.7044,25.8944,1349.4166,4.2872,0.5875,0.0733,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
235,165,-7.2500,-62.2500,0.7322,0.0810,0.1868,0.5098,263.4917,26.0056,1308.6111,4.4890,0.6560,0.0664,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
236,165,-7.2500,-61.7500,0.3678,0.3038,0.3284,0.9233,218.2317,26.2694,1217.6666,3.9030,0.6281,0.0729,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
237,165,-7.2500,-61.2500,0.3500,0.3300,0.3200,0.4033,179.9214,26.2556,1436.3334,4.0000,0.6625,0.0691,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
238,165,-7.2500,-60.7500,0.3786,0.2718,0.3496,0.3370,171.1789,25.9111,1792.0834,4.1220,0.6223,0.0688,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
239,165,-7.2500,-60.2500,0.5058,0.1944,0.2998,0.8556,157.4055,25.8972,2122.2500,4.6910,0.5756,0.0607,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
240,165,-7.2500,-59.7500,0.5008,0.1884,0.3108,0.6504,104.3169,26.0778,2344.3889,4.8660,0.5675,0.0596,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
241,165,-7.2500,-59.2500,0.6028,0.1348,0.2624,0.5967,77.1472,26.1944,2414.3333,4.6530,0.5632,0.0546,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
